Part_Number,Type,Heatsink,Voltage_IEC,Voltage_UL,EMI,Power_KW,Power_HP,Irated_IEC_A,Irated_UL_A,I_OC_A,I_OL_A,I_OC_%,I_OL_%,Rated_kHz,Max_kHz,Ctrl_Board,Pdf_Dim_File,Step_File_Download
15F6P52-3533,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,11,15,24,21,43.20,36,180,150,4,16,P5-3,F6-2_air_push.pdf,15F6P52-3533.stp
15F6P52-3541,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,11,15,24,21,43.20,36,180,150,4,16,P5-4,F6-2_air_panel.pdf,15F6P52-3541.stp
15F6P52-3543,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,11,15,24,21,43.20,36,180,150,4,16,P5-4,F6-2_air_push.pdf,15F6P52-3543.stp
15F6P52-3551,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,11,15,24,21,43.20,36,180,150,4,16,P5-5,F6-2_air_panel.pdf,15F6P52-3551.stp
15F6P52-3553,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,11,15,24,21,43.20,36,180,150,4,16,P5-5,F6-2_air_push.pdf,15F6P52-3553.stp
16F6A12-3411,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,15,20,33,27,59.40,49.50,180,150,2,16,A1,F6-2_air_panel.pdf,16F6A12-3411.stp
16F6A12-3413,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,15,20,33,27,59.40,49.50,180,150,2,16,A1,F6-2_air_push.pdf,16F6A12-3413.stp
16F6A12-341H,F6,air cooled (convection) / push-through mount,400V 3 phase,480V 3 phase,none,15,20,33,27,59.40,49.50,180,150,2,16,A1,F6-2_conv_push.pdf,16F6A12-341H.stp
16F6A12-3511,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,15,20,33,27,59.40,49.50,180,150,4,16,A1,F6-2_air_panel.pdf,16F6A12-3511.stp
16F6A12-3513,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,15,20,33,27,59.40,49.50,180,150,4,16,A1,F6-2_air_push.pdf,16F6A12-3513.stp
16F6A32-3411,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,15,20,33,27,59.40,49.50,180,150,2,16,A3,F6-2_air_panel.pdf,16F6A32-3411.stp
16F6A32-3413,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,15,20,33,27,59.40,49.50,180,150,2,16,A3,F6-2_air_push.pdf,16F6A32-3413.stp
16F6A32-341H,F6,air cooled (convection) / push-through mount,400V 3 phase,480V 3 phase,none,15,20,33,27,59.40,49.50,180,150,2,16,A3,F6-2_conv_push.pdf,16F6A32-341H.stp
16F6A32-3511,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,15,20,33,27,59.40,49.50,180,150,4,16,A3,F6-2_air_panel.pdf,16F6A32-3511.stp
