Part Number,Type,Size,Housing,Cooling,Mounting,SubResistors,Voltage,EMI,GTR7,Power_KVA,Power_KW,Power_HP,Irated_IEC_Amps,Irated_UL_Amps,I_OL_Amps,I_OC_Amps,OL2_2kHz_A,OL2_4kHz_A,OL2_8kHz_A,OL2_12kHz_A,OL2_16kHz_A,I_OC_%,I_OL_%,OL2_2kHz_%,OL2_4kHz_%,OL2_8kHz_%,OL2_12kHz_%,OL2_16kHz_%,Rated_kHz,Max_kHz,BaseBlockTime_ms
24F6P56-3453,F6,24,6,air,push-through,none,400V 3ph,none,std,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6P56-3454,F6,24,6,water,push-through,none,400V 3ph,none,std,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6P56-3456,F6,24,6,water,push-through,integrated,400V 3ph,none,std,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6P56-3459,F6,24,6,water,panel,integrated,400V 3ph,none,std,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6P56-3536,F6,24,6,water,push-through,integrated,400V 3ph,none,std,125,90,125,180,156,270,324,306,242.406,160.794,106.794,75.6,180,150,170.00,134.67,89.33,59.33,42.00,4,16,3000
24F6P56-3539,F6,24,6,water,panel,integrated,400V 3ph,none,std,125,90,125,180,156,270,324,306,242.406,160.794,106.794,75.6,180,150,170.00,134.67,89.33,59.33,42.00,4,16,3000
24F6P56-3546,F6,24,6,water,push-through,integrated,400V 3ph,none,std,125,90,125,180,156,270,324,306,242.406,160.794,106.794,75.6,180,150,170.00,134.67,89.33,59.33,42.00,4,16,3000
24F6P56-3549,F6,24,6,water,panel,integrated,400V 3ph,none,std,125,90,125,180,156,270,324,306,242.406,160.794,106.794,75.6,180,150,170.00,134.67,89.33,59.33,42.00,4,16,3000
24F6P56-3556,F6,24,6,water,push-through,integrated,400V 3ph,none,std,125,90,125,180,156,270,324,306,242.406,160.794,106.794,75.6,180,150,170.00,134.67,89.33,59.33,42.00,4,16,3000
24F6P56-3559,F6,24,6,water,panel,integrated,400V 3ph,none,std,125,90,125,180,156,270,324,306,242.406,160.794,106.794,75.6,180,150,170.00,134.67,89.33,59.33,42.00,4,16,3000
24F6P56-3B3E,F6,24,6,water,panel (high perf),none,400V 3ph,none,std,125,90,125,180,156,225,270,239.994,185.994,120.006,86.4,66.006,150,125,133.33,103.33,66.67,48.00,36.67,8,16,3000
24F6P56-3B3G,F6,24,6,water,push-through (high perf),none,400V 3ph,none,std,125,90,125,180,156,225,270,239.994,185.994,120.006,86.4,66.006,150,125,133.33,103.33,66.67,48.00,36.67,8,16,3000
24F6P56-3B4E,F6,24,6,water,panel (high perf),none,400V 3ph,none,std,125,90,125,180,156,225,270,239.994,185.994,120.006,86.4,66.006,150,125,133.33,103.33,66.67,48.00,36.67,8,16,3000
24F6P56-3B4G,F6,24,6,water,push-through (high perf),none,400V 3ph,none,std,125,90,125,180,156,225,270,239.994,185.994,120.006,86.4,66.006,150,125,133.33,103.33,66.67,48.00,36.67,8,16,3000
24F6P56-3B5E,F6,24,6,water,panel (high perf),none,400V 3ph,none,std,125,90,125,180,156,225,270,239.994,185.994,120.006,86.4,66.006,150,125,133.33,103.33,66.67,48.00,36.67,8,16,3000
24F6P56-3B5G,F6,24,6,water,push-through (high perf),none,400V 3ph,none,std,125,90,125,180,156,225,270,239.994,185.994,120.006,86.4,66.006,150,125,133.33,103.33,66.67,48.00,36.67,8,16,3000
24F6P56-4431,F6,24,6,air,panel,none,400V 3ph,none,none,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6P56-4432,F6,24,6,water,panel,none,400V 3ph,none,none,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6P56-4433,F6,24,6,air,push-through,none,400V 3ph,none,none,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6P56-4434,F6,24,6,water,push-through,none,400V 3ph,none,none,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6P56-4441,F6,24,6,air,panel,none,400V 3ph,none,none,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6P56-4442,F6,24,6,water,panel,none,400V 3ph,none,none,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6P56-4443,F6,24,6,air,push-through,none,400V 3ph,none,none,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6P56-4444,F6,24,6,water,push-through,none,400V 3ph,none,none,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6P56-4451,F6,24,6,air,panel,none,400V 3ph,none,none,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6P56-4452,F6,24,6,water,panel,none,400V 3ph,none,none,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6P56-4453,F6,24,6,air,push-through,none,400V 3ph,none,none,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
